"siret","code","workforce_count","coordinates","usual_name"
"44397726900036","43.21A",75,"(49.173771,6.153057)","OPTEOR"
"33188848700039","43.32A",35,"(49.198193,6.149763)","BONECHER"
"33447440000028","43.99C",35,"(49.198393,6.149763)","ZANNIER CONSTRUCTIONS"
"40379701200065","43.99C",35,"(49.20528,6.18231)","MULTI BAT"
"40486978600032","43.34Z",75,"(49.296024,6.568282)","DENIZ"
"35249126000035","43.22B",35,"(49.113782,6.71061)","ETS VAGNER"
"38435182100051","41.20B",35,"(49.126451,6.719485)","HEMMER ET LAGARDE"
"39789095500024","43.12A",75,"(49.143195,6.693727)","SOCIETE NOUVELLE S.M.T.P.F"
"40958674000030","33.12Z",35,"(49.122222,6.703698)","AGIA"
"40986811400300","43.21A",150,"(49.112695,6.701924)","COFELY INEO"
"41440704900025","33.12Z",35,"(49.102938,6.693401)","MONTEC"
"42889111300063","20.16Z",1500,"(49.118489,6.703304)","TOTAL PETROCHEMICALS FRANCE"
"44108132000018","35.13Z",75,"(49.103742,6.694851)","REGIE MUNICIPALE ENERGIS"
"33126075200026","43.32A",75,"(48.92762,6.651816)","SERPLASTE"
"33968833500027","25.61Z",35,"(48.939069,6.645147)","FRANCE GALVA"
"33795538900016","42.11Z",35,"(49.083797,6.746298)","BATI TP"
"38523370500024","22.23Z",35,"(48.970295,6.738517)","SARL TECHNIPLAST"
"41390920100142","41.20B",75,"(49.183425,6.489042)","SOGEA EST B T P"
"34465564200033","43.22B",150,"(48.750472,7.072501)","SANICHAUF"
"36480067200032","17.21C",375,"(48.747608,7.069579)","AMCOR FLEXIBLES SARREBOURG SAS"
"44460844203152","35.13Z",35,"(48.733557,7.04434)","ENEDIS"
"38499728400037","43.32B",35,"(48.717737,7.071923)","ALUFEY-BRIOTET"
"33354434400026","43.99C",35,"(48.69424,7.108258)","S.A.R.L. SOUTTER FRIANT"
"34479014200014","43.32B",35,"(48.672462,7.0928)","SARL ALFRED KLEIN"
"35980130500038","41.20B",35,"(48.670634,7.086628)","STRUBEL SAS"
"35780205700012","43.99D",35,"(48.865609,6.948119)","ENTREPRISE DURMEYER"
"42124837800018","43.12A",35,"(48.832256,7.025219)","BECK ANTOINE"
"35187335100024","43.22B",35,"(49.054121,7.441566)","STEINER - WEY"
"39476485600040","43.32A",35,"(49.054186,7.261126)","FERMETURES BENOIT SCHEMEL"
"40014196600061","43.22B",35,"(49.09301,7.265673)","SARL DORKEL"
"35314352200012","25.62B",35,"(49.104308,7.091442)","S.M. FRANCE"
"39969919800020","42.21Z",35,"(49.105424,7.089773)","T P D L"
"41058203500011","18.12Z",75,"(49.106891,7.10695)","CONTEGO PACKAGING"
"44460844203319","35.13Z",35,"(49.115749,7.070172)","ENEDIS"
"44478651103778","35.22Z",35,"(49.115949,7.070172)","GRDF"
"40339674000017","24.53Z",375,"(49.154403,7.02786)","FONDERIE LORRAINE"
"34402255300012","25.50B",150,"(49.096531,7.07817)","ETABLISSEMENTS OTHON FEY"
"34417188900019","25.62B",150,"(49.03343,6.596503)","SITRAL INDUSTRIE SA"
"40373290200032","33.20A",35,"(49.048628,6.61366)","ETC INTERNATIONALE"
"40440956700017","33.11Z",35,"(49.042952,6.600987)","STR INDUSTRIES"
"40485721100027","25.62A",75,"(49.048528,6.61356)","BURGMAIER PRECISDEC"
"42288748900025","25.61Z",35,"(49.053678,6.607548)","AALBERTS SURFACE TREATMENT"
"34109726900037","43.21A",35,"(49.049825,6.580399)","ETA"
"43415212000029","42.11Z",35,"(49.05133,6.576944)","T.P. COLLE"
"34039289300038","33.11Z",35,"(49.104784,6.647864)","SOUDURE ASSISTANCE"
