"Source";"Target";"Weight"
"D1503";"D1504";0.5
"D1503";"D1506";0.5
"D1503";"D1509";0.5
"D1503";"K2111";0.5
"D1503";"M1101";0.5
"D1504";"D1406";0.9
"D1504";"K2111";0.5
"D1504";"M1102";0.9
"D1504";"M1302";0.9
"D1504";"M1704";0.9
"D1504";"M1705";0.5
"D1504";"M1706";0.9
"D1504";"M1707";0.5
"D1505";"D1106";0.5
"D1505";"D1210";0.5
"D1505";"D1211";0.5
"D1505";"D1212";0.5
"D1505";"D1214";0.5
"D1505";"D1507";0.9
"D1505";"D1508";0.5
"D1505";"M1601";0.9
"D1506";"B1301";0.9
"D1506";"D1406";0.5
"D1506";"K2111";0.5
"D1506";"M1102";0.5
"D1506";"M1703";0.5
"D1506";"M1705";0.5
"D1506";"M1707";0.5
"D1507";"D1106";0.9
"D1507";"D1501";0.5
"D1507";"D1502";0.5
"D1507";"D1503";0.5
"D1507";"D1505";0.9
"D1507";"G1603";0.9
"D1507";"H3303";0.9
"D1507";"N1103";0.9
"D1507";"N1105";0.9
"D1508";"D1301";0.9
"D1508";"D1502";0.5
"D1508";"D1503";0.5
"D1508";"G1401";0.9
"D1508";"M1608";0.5
"D1509";"D1301";0.9
"D1509";"D1406";0.9
"D1509";"D1504";0.5
"D1509";"K2111";0.5
"D1509";"M1101";0.5
"D1509";"M1703";0.5
"D1509";"M1704";0.9
"D1509";"N1302";0.9
"E1101";"D1401";0.9
"E1101";"D1408";0.9
"E1101";"E1103";0.5
"E1101";"G1202";0.9
"E1101";"G1202";0.9
"E1101";"G1202";0.9
"E1101";"G1202";0.9
"E1101";"G1202";0.9
"E1101";"G1202";0.9
"E1101";"G1202";0.9
"E1101";"G1202";0.9
"E1101";"K1601";0.9
"E1101";"K1601";0.9
"E1101";"M1702";0.5
"E1101";"M1704";0.5
"E1101";"M1801";0.5
"E1102";"E1103";0.5
"E1102";"E1105";0.5
"E1102";"E1106";0.9
"E1102";"E1108";0.5
"E1102";"E1205";0.5
"E1102";"E1305";0.9
"E1102";"G1202";0.9
"E1102";"L1203";0.5
"E1102";"L1301";0.5
"E1102";"L1303";0.5
"E1102";"L1304";0.5
"E1103";"E1106";0.9
"E1103";"E1401";0.9
"E1103";"E1402";0.9
"E1103";"L1303";0.5
"E1104";"E1103";0.5
"E1104";"E1205";0.9
"E1104";"H1204";0.9
"E1104";"K2105";0.5
"E1104";"L1304";0.5
"E1104";"L1510";0.9
"E1104";"M1805";0.9
"E1104";"M1805";0.9
"E1105";"E1102";0.5
"E1105";"E1103";0.9
"E1105";"E1104";0.5
"E1105";"E1106";0.5
"E1105";"E1305";0.9
"E1105";"L1303";0.9
"E1106";"E1102";0.5
"E1106";"E1103";0.9
"E1106";"E1105";0.5
"E1106";"E1108";0.9
"E1106";"E1201";0.9
"E1106";"L1103";0.9
"E1106";"L1103";0.9
"E1106";"L1505";0.9
"E1107";"D1402";0.5
"E1107";"E1103";0.9
"E1107";"E1402";0.5
"E1107";"G1301";0.5
"E1107";"L1303";0.5
"E1107";"M1702";0.5
"E1108";"E1102";0.5
"E1108";"E1105";0.5
"E1108";"E1106";0.9
"E1108";"G1201";0.5
"E1108";"H1207";0.5
"E1108";"K1601";0.5
"E1108";"K2111";0.5
"E1201";"E1203";0.9
"E1202";"E1203";0.9
"E1202";"L1507";0.5
"E1203";"E1201";0.5
"E1203";"E1202";0.9
"E1204";"E1202";0.5
"E1204";"G1403";0.5
"E1204";"G1403";0.5
"E1205";"B1101";0.5
"E1205";"E1104";0.9
"E1205";"E1306";0.9
"E1205";"H1204";0.9
"E1205";"L1304";0.5
"E1205";"L1510";0.9
"E1301";"E1302";0.9
"E1301";"E1303";0.5
"E1301";"E1306";0.5
"E1301";"E1308";0.5
"E1302";"E1301";0.9
"E1302";"E1303";0.5
"E1302";"E1308";0.5
"E1302";"H3301";0.9
"E1303";"E1308";0.9
"E1303";"H2504";0.9
"E1303";"H2505";0.9
"E1304";"E1301";0.5
"E1304";"E1302";0.5
"E1304";"H3302";0.9
"E1304";"N1103";0.9
"E1305";"E1105";0.5
"E1305";"H1207";0.5
"E1306";"E1104";0.5
"E1306";"E1205";0.9
"E1306";"E1301";0.5
"E1306";"E1303";0.5
"E1306";"E1305";0.5
"E1306";"E1308";0.5
"E1307";"E1301";0.5
"E1307";"E1302";0.5
"E1307";"E1303";0.5
"E1307";"E1308";0.5
"E1307";"M1602";0.9
"E1308";"E1105";0.5
"E1308";"E1205";0.5
"E1308";"E1303";0.9
"E1401";"E1103";0.9
"E1401";"E1402";0.9
"E1401";"M1302";0.5
