siret,naf,ri,F_1_4,F_2_2,F_2_4,F_3_3
35208723300040,15.12Z,4463.93,3.7,9.63,2.36,2.59
43244308300030,25.99B,11511.75,10,10,4.89,7.43
41819304100013,01.24Z,3731.16,1.6,10.0,1.79,2.15
34392270400055,10.72Z,2167.72,0.1,0,2.56,0.13
39086695200059,18.13Z,2184.97,0.5,0,1.84,0.12
34212151400026,22.29B,5398.8,6.1,3.84,5.03,5.69
43970114500039,10.71C,2187.31,0.2,0,9.93,0.48
39440693800115,10.71C,2187.31,0.2,0,9.93,0.48
39474770300236,10.71C,2187.31,0.2,0,9.93,0.48
43370481400014,10.71C,2187.31,0.2,0,9.93,0.48
38516963600029,10.71B,2187.31,0.2,0,9.93,0.48
33805700300034,25.73B,5670.11,1.4,10,4.45,1.93
40123689800011,10.71C,2187.31,0.2,0,9.93,0.48
41510887700028,10.71B,2187.31,0.2,0,9.93,0.48
44025266600035,20.13A,7702.38,9.5,5.12,4.4,7.93
40322193000056,17.21B,7414.49,10,1.93,7.32,10
39474784400022,23.61Z,3830.12,1.9,10.0,2.21,0.0
33872972600012,11.01Z,2445.34,2.2,0,2.36,2.32
43399667500032,10.82Z,5284.96,4.8,8.1,2.74,5.45
34088947600024,30.11Z,3783.05,2.6,9.8,2.05,0.51
38052431400016,10.71C,2182.16,0.1,0,9.93,0.48
38143133700025,23.61Z,3830.12,1.9,10.0,2.21,0.0
33966121700010,22.23Z,3997.65,5.8,5.48,2.46,2.67
38143133700017,23.61Z,3830.12,1.9,10.0,2.21,0.0
38896330800019,31.09B,5839.22,0.8,10,4.97,0.73
38170063200015,25.99B,11511.75,10,10,4.89,7.43
41087008300012,29.32Z,2927.23,5.2,0.8,2.43,2.66
44187904600015,10.85Z,2484.08,0.7,1.17,2.8,1.08
39052469200022,31.09A,5839.22,0.8,10,4.97,0.73
41448230700017,23.12Z,4075.02,1.1,9.53,2.54,1.42
43141964700026,28.25Z,3339.5,5.2,3.01,2.23,2.69
37770168500051,10.71C,2182.16,0.1,0,9.93,0.48
37884021900018,17.21B,7414.49,10,1.93,7.32,10
33428574900027,16.23Z,6702.58,10,6.56,2.4,7.52
40298659000022,31.09A,5839.22,0.8,10,4.97,0.73
40267432900048,20.14Z,6015.02,10,2.49,2.42,10
35288428200018,28.29B,10690.67,8.4,10,4.5,8.43
43515105500025,24.51Z,3302.74,1.2,6.36,2.3,0.5
37929366500038,17.21B,7414.49,10,1.93,7.32,10
40863932600011,23.41Z,3124.7,0.5,5.25,2.43,0.47
44030429300028,17.11Z,2430.32,2.1,0,2.17,2.25
39377683600024,17.21B,7414.49,10,1.93,7.32,10
35046268500032,10.71C,2187.31,0.2,0,9.93,0.48
38108757600033,10.51C,16353.49,6.1,10,9.89,8.91
43424239200034,22.23Z,3997.65,5.8,5.48,2.46,2.67
44269443600118,22.29A,5478.54,6.4,3.84,5.03,5.69
42184218800086,26.12Z,2433.91,2.7,0,2.26,1.73
42722073600016,31.09A,5839.22,0.8,10,4.97,0.73
43827379900041,17.21B,7414.49,10,1.93,7.32,10
43409069200014,10.71C,2187.31,0.2,0,9.93,0.48
44362018200016,17.21B,7414.49,10,1.93,7.32,10
42572005900020,17.21B,7414.49,10,1.93,7.32,10
40069617500019,25.11Z,3995.37,3.4,10.0,2.17,0.74
42815665700010,23.12Z,4095.95,1.3,9.53,2.54,1.42
41953098500011,16.24Z,2184.04,0.4,0,2.51,0.19
38158353300033,20.59Z,4176.5,5.7,6.36,2.28,3.09
42355964000010,31.01Z,3381.04,3.2,5.15,2.44,1.28
43827379900058,17.21B,7414.49,10,1.93,7.32,10
34333480100010,23.61Z,3825.92,1.8,10.0,2.21,0.0
39189007600055,28.29B,10808.65,8.6,10,4.5,8.43
41030348100239,38.21Z,4021.27,1.4,10.0,2.4,0.75
35292348600034,10.71C,2187.31,0.2,0,9.93,0.48
42194210300027,10.71D,2187.31,0.2,0,9.93,0.48
39408956900096,16.23Z,6702.58,10,6.56,2.4,7.52
39256617000024,38.21Z,4021.27,1.4,10.0,2.4,0.75
42902860800033,10.71C,2187.31,0.2,0,9.93,0.48
44375978200057,10.71C,2187.31,0.2,0,9.93,0.48
39306807700055,14.13Z,3819.31,0.8,9.88,2.22,0.69
39224493500020,38.21Z,4021.27,1.4,10.0,2.4,0.75
35357385000032,10.71C,2187.31,0.2,0,9.93,0.48
34749522800020,10.71C,2187.31,0.2,0,9.93,0.48
40200843700038,25.11Z,3871.56,1.7,10.0,2.17,0.74
33312130900020,10.71C,2182.16,0.1,0,9.93,0.48
42028057000011,10.71C,2182.16,0.1,0,9.93,0.48
38427319900024,10.71C,2182.16,0.1,0,9.93,0.48
39354103200016,10.13A,7062.28,2.1,10,5.38,4.81
40345956300017,01.23Z,3839.9,0.3,10.0,2.16,2.15
34282866200011,01.24Z,3570.66,0.3,10.0,1.79,2.15
40346057900028,01.24Z,3570.66,0.3,10.0,1.79,2.15
44150620100017,01.21Z,3489.89,0.2,10.0,1.76,1.13
38047616800014,10.71C,2182.16,0.1,0,9.93,0.48
40001477500011,01.21Z,3498.34,0.3,10.0,1.76,1.13
43508926300022,10.71C,2182.16,0.1,0,9.93,0.48
81345830400025,27.12Z,3732.96,2.1,8.22,2.27,1.18
75920110600094,31.09B,5839.22,0.8,10,4.97,0.73
77815785900019,17.21B,7414.49,10,1.93,7.32,10
76120063300052,22.22Z,4669.31,9.6,0,2.51,9.09
75920045400099,22.22Z,4669.31,9.6,0,2.51,9.09
75920027200020,23.61Z,3830.12,1.9,10.0,2.21,0.0
75920098300022,13.96Z,2391.75,0.5,1.1,2.47,0.34
77120096100031,17.21B,7414.49,10,1.93,7.32,10
81443492400019,10.71C,2187.31,0.2,0,9.93,0.48
54592007600068,31.09A,5839.22,0.8,10,4.97,0.73
54692008300021,31.01Z,3381.04,3.2,5.15,2.44,1.28
63850296300090,10.71A,2187.31,0.2,0,9.93,0.48
47845579301469,10.71C,2187.31,0.2,0,9.93,0.48
52241896100028,10.71C,2187.31,0.2,0,9.93,0.48
81125323600020,17.21B,7414.49,10,1.93,7.32,10
75189714100022,22.22Z,4758.8,10,0,2.51,9.09
53051115300021,10.71C,2187.31,0.2,0,9.93,0.48
49226447800016,17.21B,7414.49,10,1.93,7.32,10
63203998800142,17.21A,7414.49,10,1.93,7.32,10
47845579301691,10.71C,2187.31,0.2,0,9.93,0.48
49784988500023,20.15Z,7769.38,10,7.37,2.2,10
